Date,Temp (c),Sales ($)
20-Apr-21,2.8,0
21-Apr-21,7.9,80.2
22-Apr-21,-0.7,0
23-Apr-21,-2.2,0
24-Apr-21,-0.5,0
25-Apr-21,0.6,0
26-Apr-21,4.7,0
27-Apr-21,7,59.3
28-Apr-21,8.4,96.3
29-Apr-21,11.5,158
30-Apr-21,12.6,246.3
1-May-21,6.1,27.9
2-May-21,4.5,0
3-May-21,5.5,6
4-May-21,5.8,17
5-May-21,6.8,41.4
6-May-21,11.6,202.5
7-May-21,10.1,178.3
8-May-21,3,0
9-May-21,0.8,0
10-May-21,4.9,0
11-May-21,5.8,15.7
12-May-21,8.7,111.8
13-May-21,10.5,135.8
14-May-21,10.9,167.4
15-May-21,13.1,203.7
16-May-21,15.7,367.7
17-May-21,17.5,319
18-May-21,10.3,174.4
19-May-21,3.2,0
20-May-21,-0.3,0
21-May-21,3.3,0
22-May-21,5.7,11.3
23-May-21,3.4,0
24-May-21,5.8,14.2
25-May-21,8.3,72.4
26-May-21,10.8,164.3
27-May-21,13.4,275.1
28-May-21,10.2,144.9
29-May-21,10.4,177.6
30-May-21,13,279.7
31-May-21,16.4,321.2
1-Jun-21,18.9,364.9
2-Jun-21,20.3,503.5
3-Jun-21,22.3,486.3
4-Jun-21,19.7,358.8
5-Jun-21,11.9,206.8
6-Jun-21,8,100.2
7-Jun-21,8.1,74.4
8-Jun-21,8.5,113.6
9-Jun-21,8.5,85.8
10-Jun-21,9.4,152.5
11-Jun-21,11.5,160.9
12-Jun-21,11.7,225.2
13-Jun-21,16.7,353.6
14-Jun-21,20.5,511.2
15-Jun-21,19.1,367.3
16-Jun-21,14.6,239.8
17-Jun-21,13.6,294.4
18-Jun-21,14.5,263
19-Jun-21,12.6,185.2
20-Jun-21,14.7,347.7
21-Jun-21,16.6,330.5
22-Jun-21,20.1,416.9
23-Jun-21,18.2,327.9
24-Jun-21,14.2,291.4
25-Jun-21,18.4,476.2
26-Jun-21,22.5,566.1
27-Jun-21,22.5,601.7
28-Jun-21,24,462.5
29-Jun-21,25.9,532.4
30-Jun-21,25.5,506.7
1-Jul-21,25.4,695.7
2-Jul-21,21.9,620.1
3-Jul-21,18.9,389.4
4-Jul-21,15.6,265.4
5-Jul-21,14,309.4
6-Jul-21,17.1,298
7-Jul-21,17.6,344.6
8-Jul-21,18.1,365.4
9-Jul-21,19.2,336.8
10-Jul-21,21.5,412.3
11-Jul-21,16.5,368.2
12-Jul-21,17,425
13-Jul-21,19.1,336
14-Jul-21,20.2,494.5
15-Jul-21,20.4,537
16-Jul-21,19.6,428.4
17-Jul-21,17.2,393.5
18-Jul-21,15.6,370
19-Jul-21,17.4,342.7
20-Jul-21,18.1,405.3
21-Jul-21,19.5,402.3
22-Jul-21,16.3,402.2
23-Jul-21,15.2,354.8
24-Jul-21,17.5,332.2
25-Jul-21,17.5,413.7
26-Jul-21,18,399.2
27-Jul-21,17,416.9
28-Jul-21,18.7,398
29-Jul-21,20.6,520
30-Jul-21,20.3,385.1
31-Jul-21,20.7,511.8
1-Aug-21,22.7,551.6
2-Aug-21,20.8,379.7
3-Aug-21,22.6,578.9
4-Aug-21,18.6,487.8
5-Aug-21,20.5,473
6-Aug-21,19.9,548.9
7-Aug-21,18.2,479.3
8-Aug-21,12.2,223.5
9-Aug-21,15.6,386.7
10-Aug-21,17.5,409.6
11-Aug-21,17.6,347.4
12-Aug-21,18.3,431.5
13-Aug-21,20.4,469.4
14-Aug-21,22.7,548
15-Aug-21,23.3,551.7
16-Aug-21,16.6,400.5
17-Aug-21,9.2,106.9
18-Aug-21,12.1,169.8
19-Aug-21,11.1,180.3
20-Aug-21,12.9,247.5
21-Aug-21,11.1,160.5
22-Aug-21,12.5,199.8
23-Aug-21,9.9,127.7
24-Aug-21,11,147.7
25-Aug-21,11.7,169.4
26-Aug-21,13.8,292.2
27-Aug-21,13.8,255
28-Aug-21,14.3,226.1
29-Aug-21,14.8,253.7
30-Aug-21,14.9,334
31-Aug-21,12,172.7
1-Sep-21,9.9,151.7
2-Sep-21,10.4,187.3
3-Sep-21,12.6,230.1
4-Sep-21,14.3,244.1
5-Sep-21,17.6,433.5
6-Sep-21,13.7,223.4
7-Sep-21,13.6,267.4
8-Sep-21,13.7,270.4
9-Sep-21,15.8,255.8
10-Sep-21,12.8,223.3
11-Sep-21,11.4,171.6
12-Sep-21,10.6,143.9
13-Sep-21,11,192.3
14-Sep-21,11.1,193.9
15-Sep-21,5.9,15.5
16-Sep-21,4.6,0
17-Sep-21,8.9,106.1
18-Sep-21,16.3,322.9
19-Sep-21,9.1,114.8
20-Sep-21,7.1,51.3
21-Sep-21,11.7,165.8
22-Sep-21,15,234.5
23-Sep-21,8.6,105.6
24-Sep-21,12.3,197
25-Sep-21,14.9,281.1
